pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
1595	A man is pouring liquid into a pot	The chef is carefully pouring some oil into a pan	4.1	NEUTRAL
3892	There is no man dancing	A man is singing	2.9	NEUTRAL
8039	A young boy is diving into a still lake	A young boy is jumping into a still lake	5	ENTAILMENT
237	The children of a family are patiently playing and waiting	Three Asian kids are dancing and a man is looking	2.3	NEUTRAL
5535	A group of people are not dancing at a concert	A group of people are dancing at a concert	3.2	CONTRADICTION
8538	A tan dog is splashing in the water on the bank of a pond	A light brown dog is sprinting in the water	2.9	NEUTRAL
4468	A man and a woman are running together and holding hands	There is no couple running towards the ocean	2.6	NEUTRAL
5186	A woman is pouring eggs into a frying pan	A woman is removing eggs from a frying pan	2.6	CONTRADICTION
5017	A woman is painting a man's face	A man's face is being painted by a woman	4.9	ENTAILMENT
3922	Boys are not dancing in front of some people	Boys are dancing in front of some people	3.8	CONTRADICTION
7116	A little boy in red clothes is jumping onto the ground	A little boy in red clothes is jumping into the air	3.6	NEUTRAL
9919	Three children are running up hill	A pet dog is standing on the bank and is looking at another brown dog in the pond	1	NEUTRAL
4513	A man is massaging a woman	There is no man screwing a piece of wood to a wall	1.1	NEUTRAL
6396	A dog is scattering a pack of white sheep on a dusty farm	A dog is herding a pack of white sheep on a dusty farm	3.8	NEUTRAL
6800	Two children are crouching under some metal bars	Two children are peering over a rusty ledge	2.6	NEUTRAL
6709	A little child in a pink sweater is climbing a concrete staircase	A small child is outdoors climbing steps in a grassy area	3.5	NEUTRAL
9050	Two young boys are wearing hats and sticking their colored tongues out	Two young girls are wearing hats and sticking their colored tongues out	3.6	NEUTRAL
9827	A woman is breaking eggs	A shirtless man is posing with a girl who is hiking in a park	1	NEUTRAL
3846	The cat is playing keyboards	A cat is playing keyboards	5	ENTAILMENT
7481	Two blokes are sitting around a table and holding beers in their hands	A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles	4	NEUTRAL
7903	A white rally car is throwing mud into the air and is approaching a bend in the track	There is no white race car driving through a puddle	3.3	NEUTRAL
626	A dad is launching his daughter into a swimming pool	A father is launching the daughter in a swimming pool	4.8	ENTAILMENT
8859	A little girl in a green coat and a boy holding a red sled are walking in the snow	A little girl in a green coat and a boy holding a red sled are lying in the snow	3.7	NEUTRAL
1344	A man is talking on a cell phone	A man is making a phone call	4.3	NEUTRAL
5952	The dog is catching a ball	A dog is catching a ball	5	ENTAILMENT
3448	One woman is handing volleyballs to another woman	A woman is throwing volleyballs over a net	4	NEUTRAL
1283	There is no man walking outside	A man is dancing	1.6	NEUTRAL
6588	A young girl is dancing	A young girl is standing challengingly on one leg	2.9	NEUTRAL
1373	A man is playing a keyboard in a park	A person is playing the keyboard	4.3	ENTAILMENT
266	The brown horse is near a red barrel at the rodeo	The brown horse is far from a red barrel at the rodeo	3.6	CONTRADICTION
3825	The woman is playing a flute	A woman is playing a flute	5	ENTAILMENT
3371	There is no woman cleaning a shrimp	Someone is cleaning an animal	2.6	NEUTRAL
341	There is no girl with a black bag on a crowded train	A girl with a black bag is on a crowded train	3.7	CONTRADICTION
5852	A woman is boiling noodles in water	A man is boiling noodles in water	4	NEUTRAL
6359	The woman in a red costume is leaning against a wall made of bricks and playing an instrument	A woman in a red dress is playing an instrument	4	ENTAILMENT
