pair_ID	sentence_A	sentence_B	relatedness_score
1 美丽说是一个女性时尚社区和社会化电商平台，致力于为女性用户提供最美丽的时尚购物体验，用互联网技术为她们解决“怎么穿，哪里买”的问题。 蘑菇街是一个女性购物分享及导购社区。杭州卷瓜网络有限公司旗下网站。 1
2 蘑菇家是一个装修设计图片与方案分享平台，用户可以在蘑菇家分享商品及图片，并可一键购买。杭州卷瓜网络有限公司旗下网站。 蘑菇街是一个女性购物分享及导购社区。杭州卷瓜网络有限公司旗下网站。 1
3 唱吧是一个手机KTV唱歌娱乐应用。北京最淘科技有限公司旗下产品。 91外教网是一个英语口语培训网站，提供互联网远程音视频实时互动教学。 1
4 E达招车是一个手机智能打车应用，支持一键呼叫、即时为用户安排合适的出租车等。 旺店通致力于提供专业的电子商务解决方案，产品包括ERP、移动客户端、呼叫中心、CRM等。 1
5 旺店通致力于提供专业的电子商务解决方案，产品包括ERP、移动客户端、呼叫中心、CRM等。 通天顺是一家个人家庭投资理财规划服务商，对接投资者个人及专业金融理财服务机构。 1
6 钱方致力于为小微商户提供手机POS收款解决方案，产品有QPOS刷卡器等。 盒子支付是一家移动支付解决方案和服务提供商，产品有盒子支付刷卡器等。 1
7 米折网是专注于网购省钱的电商导购平台，提供购物返利、优惠券、打折团购、购物分享等一站式省钱服务。 米券网是一家专注于优惠券的购物省钱和导购平台。 1
8 找钢网是一个钢材现货资源信息分享平台，为买家提供找货交易服务。旗下还有胖猫物流、钢铁超市、胖猫白条、找铝网等，上海钢富电子商务有限公司旗下。 五星汇是一家专注于提供高端“机票+酒店”自由行产品的在线旅游服务商。优讯网(北京)信息服务有限公司旗下网站。 1
9 上海江游主要从事网页游戏研发，产品有《美食大战老鼠》《街机三国》等。 上海够快网络科技有限公司是一家基于云存储的协同服务提供商，主打产品为够快网盘。 1
10 旅家网是一家高品质度假公寓在线预定平台。 小猪短租网是专业的日租、短租房在线预订网站。北京快跑信息科技有限公司旗下网站。 1
11 小聚是一个关于聚会的移动社交应用。北京随行科技有限公司旗下产品。 野兽派是新一代线上花店，上海野派电子商务有限公司旗下网站。 1
12 口袋象致力于帮你向你的朋友发送照片、名片和地图等信息，一切内容都通过短信发送，接收方不需要安装口袋象客户端，支持任何型号手机。 食品追溯平台是一个可以查询溯源食品信息的第三方信息服务平台。 1
13 云知声是一家专注于智能语音识别及语言处理技术的移动互联网公司，推出了一系列语音识别服务中间件和语音识别服务云平台，可广泛应用在移动互联网、智能家电、可穿戴设备、车载导航、医疗、教育、呼叫中心等领域，为企业和用户提供专业的语音识别服务。 didi是一个免费通话的，支持视频对讲、云端通讯录、熟人管理、社交互动的手机应用，前身是UU语音 1
14 优信拍是专业提供二手车电子化竞价拍卖服务的供应商，核心业务是二手车网络拍卖平台，集竞价拍卖、车辆检测、安全支付、物流运输及售后服务代办为一体。 云洗车是一个整合线上线上的洗车服务应用。北京思倍得网络技术有限公司旗下产品。 1
15 随译网是一个专业的人工在线翻译服务网站。隶属于深圳市鲸环科技有限公司。 大鱼自助游是一个出境自助游服务网站，为用户提供当地住宿推荐、特色活动等，目前覆盖台湾、日本、帕劳、巴西等地。鱼行天下(北京)科技有限公司旗下网站。 1
16 多乐是一款基于场景和心情的社会化音乐电台，通过用户选择自己当下的场景或心情，来帮助用户快速找寻到当下适合自己的音乐。 KK唱响是一款手机实时视频K歌及音乐视频交友软件。杭州米络科技有限公司旗下产品。 1
17 见见是一款基于缘分的移动交友应用，自动帮你记录走过的路、遇见的人，并深度分析人与人之间的连结关系，推导出准确奇妙的缘分指数。隶属于西安八千里网络科技有限公司。 小聚是一个关于聚会的移动社交应用。北京随行科技有限公司旗下产品。 1
18 北京闪联智通科技专业从事互联网及手机加速、网络优化、流量优化等，旗下有飞速流量工具、加速宝等。 luefir是一家开发高品质移动设备产品内容的创意型媒体公司，产品有《宫爆老奶奶》等。 1
